id,target
1,0
2,0
3,1
4,3
5,2
6,3
7,0
8,1
9,3
10,3
11,0
12,3
13,0
14,0
15,0
16,2
17,1
18,0
19,1
20,0
21,3
22,2
23,1
24,3
25,3
26,1
27,2
28,3
29,1
30,1
31,3
32,1
33,0
34,2
35,2
36,0
37,3
38,1
39,0
40,2
41,3
42,0
43,3
44,2
45,1
46,2
47,0
48,0
49,0
50,2
51,0
52,1
53,0
54,3
55,3
56,2
57,2
58,2
59,0
60,1
61,0
62,0
63,1
64,3
65,3
66,1
67,3
68,3
69,3
70,3
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,2
79,3
80,0
81,1
82,2
83,0
84,0
85,0
86,3
87,1
88,3
89,1
90,1
91,2
92,1
93,3
94,0
95,0
96,2
97,2
98,3
99,0
100,3
101,0
102,3
103,0
104,1
105,3
106,1
107,0
108,2
109,0
110,0
111,2
112,3
113,0
114,0
115,0
116,3
117,3
118,3
119,0
120,0
121,2
122,2
123,2
124,1
125,0
126,1
127,2
128,3
129,2
130,2
131,0
132,1
133,2
134,3
135,2
136,2
137,0
138,2
139,2
140,1
141,1
142,1
143,1
144,1
145,2
146,0
147,1
148,3
149,3
150,1
151,0
152,0
153,1
154,2
155,2
156,0
157,0
158,2
159,3
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,3
171,0
172,0
173,1
174,3
175,3
176,0
177,3
178,0
179,2
180,0
181,0
182,2
183,1
184,3
185,3
186,0
187,3
188,1
189,2
190,2
191,2
192,1
193,0
194,3
195,3
196,2
197,3
198,0
199,3
200,3
201,2
202,3
203,3
204,3
205,3
206,0
207,1
208,2
209,3
210,0
211,2
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,2
220,1
221,1
222,0
223,3
224,2
225,2
226,3
227,1
228,2
229,0
230,3
231,0
232,3
233,1
234,3
235,1
236,3
237,1
238,0
239,1
240,1
241,2
242,2
243,3
244,1
245,1
246,0
247,3
248,3
249,0
250,2
251,0
252,2
253,1
254,3
255,3
256,1
257,3
258,2
259,0
260,0
261,3
262,1
263,0
264,2
265,1
266,2
267,3
268,3
269,1
270,0
271,0
272,2
273,3
274,1
275,3
276,0
277,3
278,3
279,1
280,2
